AssignOrder;OR06820;BR01;
PickProduct;SR01;P127;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR06820;
AssignOrder;OR03314;BR01;
PickProduct;SR01;P280;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR03314;
AssignOrder;OR03301;BR01;
PickProduct;SR01;P204;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR03301;
AssignOrder;OR06124;BR01;
PickProduct;SR01;P284;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR06124;
AssignOrder;OR01651;BR01;
PickProduct;SR01;P127;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR01651;
AssignOrder;OR05956;BR01;
PickProduct;SR01;P284;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR05956;
AssignOrder;OR09338;BR01;
PickProduct;SR01;P127;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR09338;
AssignOrder;OR01906;BR01;
PickProduct;SR01;P127;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR01906;
AssignOrder;OR01108;BR01;
PickProduct;SR01;P491;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR01108;
AssignOrder;OR00128;BR01;
PickProduct;SR01;P280;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR00128;
AssignOrder;OR08015;BR01;
PickProduct;SR01;P280;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR08015;
AssignOrder;OR09771;BR01;
PickProduct;SR01;P446;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR09771;
AssignOrder;OR08226;BR01;
PickProduct;SR01;P280;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR08226;
AssignOrder;OR07138;BR01;
PickProduct;SR01;P112;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR07138;
AssignOrder;OR09224;BR01;
PickProduct;SR01;P446;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR09224;
AssignOrder;OR02612;BR01;
PickProduct;SR01;P112;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR02612;
AssignOrder;OR08425;BR01;
PickProduct;SR01;P204;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR08425;
AssignOrder;OR02170;BR01;
PickProduct;SR01;P127;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR02170;
AssignOrder;OR08908;BR01;
PickProduct;SR01;P112;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR08908;
AssignOrder;OR05716;BR01;
PickProduct;SR01;P427;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR05716;
AssignOrder;OR01164;BR01;
PickProduct;SR01;P410;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR01164;
AssignOrder;OR09998;BR01;
PickProduct;SR01;P427;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR09998;
AssignOrder;OR09978;BR01;
PickProduct;SR01;P127;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR09978;
AssignOrder;OR02385;BR01;
PickProduct;SR01;P411;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR02385;
AssignOrder;OR05669;BR01;
PickProduct;SR01;P411;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR05669;
AssignOrder;OR05043;BR01;
PickProduct;SR01;P372;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR05043;
AssignOrder;OR03773;BR01;
PickProduct;SR01;P427;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR03773;
AssignOrder;OR07922;BR01;
PickProduct;SR01;P127;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR07922;
AssignOrder;OR02117;BR01;
PickProduct;SR01;P112;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR02117;
AssignOrder;OR01861;BR01;
PickProduct;SR01;P280;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR01861;
AssignOrder;OR04284;BR01;
PickProduct;SR01;P127;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR04284;
AssignOrder;OR04146;BR01;
PickProduct;SR01;P133;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR04146;
AssignOrder;OR00461;BR01;
PickProduct;SR01;P280;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR00461;
AssignOrder;OR00325;BR01;
PickProduct;SR01;P280;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR00325;
AssignOrder;OR06089;BR01;
PickProduct;SR01;P127;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR06089;
AssignOrder;OR06571;BR01;
PickProduct;SR01;P491;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR06571;
AssignOrder;OR01954;BR01;
PickProduct;SR01;P280;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR01954;
AssignOrder;OR03883;BR01;
PickProduct;SR01;P155;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR03883;
AssignOrder;OR03608;BR01;
PickProduct;SR01;P026;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
PutProduct;BR01;
FinishOrder;OR03608;
AssignOrder;OR06979;BR01;
PickProduct;SR01;P491;
PutProduct;BR01;
